dataset,cant_threads,metodo,tiempo_carga,tiempo_max
big_random,1,true,29287.3,0.290166
big_random,2,true,23379.4,0.478962
big_random,3,true,17618.7,0.38751
big_random,4,true,16056.2,0.394172
big_random,5,true,18190.1,0.356501
big_random,6,true,20119.9,0.378343
big_random,7,true,20450.8,0.479984
big_random,8,true,20161.4,0.495654
big_random,9,true,20375.6,0.569272
big_random,10,true,20147.4,0.603717
big_random,11,true,20212.4,0.782565
big_random,12,true,19899.9,0.54953
big_random,13,true,20004.8,0.830791
big_random,14,true,20036.0,0.78307
big_random,15,true,19985.8,0.932081
big_random,16,true,19803.7,1.03781
big_random,17,true,20003.8,0.879641
big_random,18,true,20054.2,1.12064
