dataset,cant_threads,tiempo_carga
instancias/separados/2_archivos,1,29454.4
instancias/separados/2_archivos,2,23479.35
instancias/separados/2_archivos,3,23317.4
instancias/separados/2_archivos,4,23534.25
instancias/separados/2_archivos,5,23295.75
instancias/separados/2_archivos,6,23321.15
instancias/separados/2_archivos,7,23403.35
instancias/separados/2_archivos,8,23299.65
instancias/separados/2_archivos,9,23339.949999999997
instancias/separados/2_archivos,10,23314.3
instancias/separados/2_archivos,11,23373.8
instancias/separados/2_archivos,12,23240.300000000003
instancias/separados/2_archivos,13,24195.75
instancias/separados/2_archivos,14,23468.300000000003
instancias/separados/2_archivos,15,23180.65
instancias/separados/2_archivos,16,23288.1
instancias/separados/2_archivos,17,23391.7
instancias/separados/2_archivos,18,23308.8
instancias/separados/2_archivos,19,23378.45
instancias/separados/4_archivos,1,29376.3
instancias/separados/4_archivos,2,23333.6
instancias/separados/4_archivos,3,22339.95
instancias/separados/4_archivos,4,16432.65
instancias/separados/4_archivos,5,16278.55
instancias/separados/4_archivos,6,16321.7
instancias/separados/4_archivos,7,16220.15
instancias/separados/4_archivos,8,16301.150000000001
instancias/separados/4_archivos,9,16485.55
instancias/separados/4_archivos,10,16768.15
instancias/separados/4_archivos,11,16294.599999999999
instancias/separados/4_archivos,12,16316.95
instancias/separados/4_archivos,13,16213.6
instancias/separados/4_archivos,14,16305.1
instancias/separados/4_archivos,15,16403.449999999997
instancias/separados/4_archivos,16,16239.85
instancias/separados/4_archivos,17,16309.35
instancias/separados/4_archivos,18,16493.25
instancias/separados/4_archivos,19,16283.3
instancias/separados/8_archivos,1,28742.5
instancias/separados/8_archivos,2,22713.85
instancias/separados/8_archivos,3,15277.55
instancias/separados/8_archivos,4,14563.75
instancias/separados/8_archivos,5,16980.35
instancias/separados/8_archivos,6,19654.75
instancias/separados/8_archivos,7,21220.699999999997
instancias/separados/8_archivos,8,20508.85
instancias/separados/8_archivos,9,20480.75
instancias/separados/8_archivos,10,20440.25
instancias/separados/8_archivos,11,20459.4
instancias/separados/8_archivos,12,20449.6
instancias/separados/8_archivos,13,20466.550000000003
instancias/separados/8_archivos,14,20457.15
instancias/separados/8_archivos,15,20465.15
